#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.30303      0.30303      1            0.868687     8.56648e-23 
0.30303      0.30303      1            0.878788     5.45292e-36 
0.30303      0.30303      1            0.888889     7.56927e-31 
0.30303      0.30303      1            0.89899      3.30564e-26 
0.30303      0.30303      1            0.909091     2.82996e-29 
0.30303      0.30303      1            0.919192     1.70266e-39 
0.30303      0.30303      1            0.929293     3.71684e-44 
0.30303      0.30303      1            0.939394     1.19166e-45 
0.30303      0.30303      1            0.949495     3.91659e-64 
0.30303      0.30303      1            0.959596     4.43023e-59 
0.30303      0.30303      1            0.969697     3.6841e-63  
0.30303      0.30303      1            0.979798     4.79699e-60 
0.30303      0.30303      1            0.989899     6.40264e-63 
0.306061     0.306061     1            0            0.53478     
0.306061     0.306061     1            0.010101     0.503758    
0.306061     0.306061     1            0.020202     0.439195    
0.306061     0.306061     1            0.030303     0.367151    
0.306061     0.306061     1            0.040404     0.279094    
0.306061     0.306061     1            0.0505051    0.19544     
0.306061     0.306061     1            0.0606061    0.128124    
0.306061     0.306061     1            0.0707071    0.0697212   
0.306061     0.306061     1            0.0808081    0.0363768   
0.306061     0.306061     1            0.0909091    0.0172512   
0.306061     0.306061     1            0.10101      0.0073086   
0.306061     0.306061     1            0.111111     0.00536806  
0.306061     0.306061     1            0.121212     0.00180278  
0.306061     0.306061     1            0.131313     0.000224995 
0.306061     0.306061     1            0.141414     0.000308275 
0.306061     0.306061     1            0.151515     3.3964e-05  
0.306061     0.306061     1            0.161616     4.1105e-06  
0.306061     0.306061     1            0.171717     2.52335e-06 
0.306061     0.306061     1            0.181818     6.68396e-08 
0.306061     0.306061     1            0.191919     2.9958e-08  
0.306061     0.306061     1            0.20202      2.34257e-09 
0.306061     0.306061     1            0.212121     1.52829e-11 
0.306061     0.306061     1            0.222222     7.25638e-09 
0.306061     0.306061     1            0.232323     3.55878e-09 
0.306061     0.306061     1            0.242424     4.13783e-07 
0.306061     0.306061     1            0.252525     3.17607e-06 
0.306061     0.306061     1            0.262626     3.34219e-06 
0.306061     0.306061     1            0.272727     1.22428e-05 
0.306061     0.306061     1            0.282828     0.000130766 
0.306061     0.306061     1            0.292929     0.0011093   
0.306061     0.306061     1            0.30303      0.000948611 
0.306061     0.306061     1            0.313131     0.00274455  
0.306061     0.306061     1            0.323232     0.00602597  
0.306061     0.306061     1            0.333333     0.0159466   
0.306061     0.306061     1            0.343434     0.0203744   
0.306061     0.306061     1            0.353535     0.0347342   
0.306061     0.306061     1            0.363636     0.0673372   
0.306061     0.306061     1            0.373737     0.09074     
0.306061     0.306061     1            0.383838     0.113527    
0.306061     0.306061     1            0.393939     0.155098    
0.306061     0.306061     1            0.40404      0.190277    
0.306061     0.306061     1            0.414141     0.216901    
0.306061     0.306061     1            0.424242     0.249154    
0.306061     0.306061     1            0.434343     0.270802    
0.306061     0.306061     1            0.444444     0.278567    
0.306061     0.306061     1            0.454545     0.300497    
0.306061     0.306061     1            0.464646     0.278552    
0.306061     0.306061     1            0.474747     0.275549    
0.306061     0.306061     1            0.484848     0.253272    
0.306061     0.306061     1            0.494949     0.237644    
0.306061     0.306061     1            0.505051     0.203384    
0.306061     0.306061     1            0.515152     0.175089    
0.306061     0.306061     1            0.525253     0.144746    
0.306061     0.306061     1            0.535354     0.117573    
0.306061     0.306061     1            0.545455     0.0991858   
0.306061     0.306061     1            0.555556     0.0880952   
0.306061     0.306061     1            0.565657     0.0628957   
0.306061     0.306061     1            0.575758     0.0435668   
0.306061     0.306061     1            0.585859     0.0253531   
0.306061     0.306061     1            0.59596      0.0210983   
0.306061     0.306061     1            0.606061     0.0189086   
0.306061     0.306061     1            0.616162     0.0108499   
0.306061     0.306061     1            0.626263     0.00987769  
0.306061     0.306061     1            0.636364     0.00588624  
0.306061     0.306061     1            0.646465     0.0049754   
0.306061     0.306061     1            0.656566     0.00215201  
0.306061     0.306061     1            0.666667     0.00082907  
0.306061     0.306061     1            0.676768     0.00150775  
0.306061     0.306061     1            0.686869     3.95883e-05 
0.306061     0.306061     1            0.69697      2.79706e-05 
0.306061     0.306061     1            0.707071     0.000120195 
0.306061     0.306061     1            0.717172     1.83144e-05 
0.306061     0.306061     1            0.727273     2.43005e-06 
0.306061     0.306061     1            0.737374     4.99849e-06 
0.306061     0.306061     1            0.747475     2.53868e-07 
0.306061     0.306061     1            0.757576     1.99527e-09 
0.306061     0.306061     1            0.767677     1.34731e-10 
0.306061     0.306061     1            0.777778     2.66666e-10 
0.306061     0.306061     1            0.787879     3.61809e-13 
0.306061     0.306061     1            0.79798      1.62933e-19 
0.306061     0.306061     1            0.808081     2.96167e-16 
0.306061     0.306061     1            0.818182     1.46589e-11 
0.306061     0.306061     1            0.828283     2.53634e-17 
0.306061     0.306061     1            0.838384     6.16358e-22 
0.306061     0.306061     1            0.848485     1.0697e-28  
0.306061     0.306061     1            0.858586     1.20347e-13 
0.306061     0.306061     1            0.868687     8.79913e-25 
0.306061     0.306061     1            0.878788     1.1322e-25  
0.306061     0.306061     1            0.888889     9.57609e-34 
0.306061     0.306061     1            0.89899      4.10502e-27 
0.306061     0.306061     1            0.909091     3.87398e-35 
0.306061     0.306061     1            0.919192     6.24495e-26 
0.306061     0.306061     1            0.929293     1.72176e-56 
0.306061     0.306061     1            0.939394     1.65213e-38 
0.306061     0.306061     1            0.949495     1.64396e-38 
0.306061     0.306061     1            0.959596     2.32328e-47 
0.306061     0.306061     1            0.969697     1.14023e-59 
0.306061     0.306061     1            0.979798     1.59263e-38 
0.306061     0.306061     1            0.989899     4.26392e-56 
0.309091     0.309091     1            0            0.527182    
0.309091     0.309091     1            0.010101     0.505454    
0.309091     0.309091     1            0.020202     0.460316    
0.309091     0.309091     1            0.030303     0.34878     
0.309091     0.309091     1            0.040404     0.281109    
0.309091     0.309091     1            0.0505051    0.174009    
0.309091     0.309091     1            0.0606061    0.112022    
0.309091     0.309091     1            0.0707071    0.0689546   
0.309091     0.309091     1            0.0808081    0.0327856   
0.309091     0.309091     1            0.0909091    0.0189737   
0.309091     0.309091     1            0.10101      0.0101714   
0.309091     0.309091     1            0.111111     0.00274475  
0.309091     0.309091     1            0.121212     0.00073691  
0.309091     0.309091     1            0.131313     0.00049334  
0.309091     0.309091     1            0.141414     5.41281e-05 
0.309091     0.309091     1            0.151515     1.39138e-05 
0.309091     0.309091     1            0.161616     1.44299e-05 
0.309091     0.309091     1            0.171717     5.64287e-07 
0.309091     0.309091     1            0.181818     1.56997e-07 
0.309091     0.309091     1            0.191919     9.88546e-09 
0.309091     0.309091     1            0.20202      2.01817e-09 
0.309091     0.309091     1            0.212121     2.20099e-09 
0.309091     0.309091     1            0.222222     1.39589e-08 
0.309091     0.309091     1            0.232323     1.60742e-08 
0.309091     0.309091     1            0.242424     4.50169e-06 
0.309091     0.309091     1            0.252525     8.59429e-07 
0.309091     0.309091     1            0.262626     6.1605e-05  
0.309091     0.309091     1            0.272727     6.3401e-05  
0.309091     0.309091     1            0.282828     0.000326613 
0.309091     0.309091     1            0.292929     0.00114288  
0.309091     0.309091     1            0.30303      0.00134763  
0.309091     0.309091     1            0.313131     0.00435803  
0.309091     0.309091     1            0.323232     0.00957803  
0.309091     0.309091     1            0.333333     0.0174203   
0.309091     0.309091     1            0.343434     0.0267889   
0.309091     0.309091     1            0.353535     0.0447778   
0.309091     0.309091     1            0.363636     0.0602862   
0.309091     0.309091     1            0.373737     0.101249    
0.309091     0.309091     1            0.383838     0.118119    
0.309091     0.309091     1            0.393939     0.16237     
0.309091     0.309091     1            0.40404      0.18209     
0.309091     0.309091     1            0.414141     0.215253    
0.309091     0.309091     1            0.424242     0.272652    
0.309091     0.309091     1            0.434343     0.270638    
0.309091     0.309091     1            0.444444     0.291783    
0.309091     0.309091     1            0.454545     0.286005    
0.309091     0.309091     1            0.464646     0.291148    
0.309091     0.309091     1            0.474747     0.279748    
0.309091     0.309091     1            0.484848     0.239857    
0.309091     0.309091     1            0.494949     0.213971    
0.309091     0.309091     1            0.505051     0.204196    
0.309091     0.309091     1            0.515152     0.165475    
0.309091     0.309091     1            0.525253     0.150386    
0.309091     0.309091     1            0.535354     0.120433    
0.309091     0.309091     1            0.545455     0.0979039   
0.309091     0.309091     1            0.555556     0.0767179   
0.309091     0.309091     1            0.565657     0.0636084   
0.309091     0.309091     1            0.575758     0.0463388   
0.309091     0.309091     1            0.585859     0.0339822   
0.309091     0.309091     1            0.59596      0.0288467   
0.309091     0.309091     1            0.606061     0.0186199   
0.309091     0.309091     1            0.616162     0.0158932   
0.309091     0.309091     1            0.626263     0.00933046  
0.309091     0.309091     1            0.636364     0.00771704  
0.309091     0.309091     1            0.646465     0.00666969  
0.309091     0.309091     1            0.656566     0.00396355  
0.309091     0.309091     1            0.666667     0.000915592 
0.309091     0.309091     1            0.676768     0.000404041 
0.309091     0.309091     1            0.686869     0.000846841 
0.309091     0.309091     1            0.69697      0.000825523 
0.309091     0.309091     1            0.707071     4.52356e-06 
0.309091     0.309091     1            0.717172     2.28768e-06 
0.309091     0.309091     1            0.727273     2.17576e-05 
0.309091     0.309091     1            0.737374     2.53286e-05 
0.309091     0.309091     1            0.747475     2.25584e-07 
0.309091     0.309091     1            0.757576     3.38036e-07 
0.309091     0.309091     1            0.767677     1.892e-11   
