#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
-0.469697    -0.469697    1            0.181818     2.00354e-06 
-0.469697    -0.469697    1            0.19697      1.73933e-09 
-0.469697    -0.469697    1            0.212121     3.3768e-11  
-0.469697    -0.469697    1            0.227273     2.88626e-14 
-0.469697    -0.469697    1            0.242424     2.29225e-18 
-0.469697    -0.469697    1            0.257576     1.76935e-16 
-0.469697    -0.469697    1            0.272727     8.13531e-23 
-0.469697    -0.469697    1            0.287879     1.50937e-24 
-0.469697    -0.469697    1            0.30303      7.858e-26   
-0.469697    -0.469697    1            0.318182     6.93271e-26 
-0.469697    -0.469697    1            0.333333     2.28561e-34 
-0.469697    -0.469697    1            0.348485     3.90196e-22 
-0.469697    -0.469697    1            0.363636     0.00358501  
-0.469697    -0.469697    1            0.378788     0.00404067  
-0.469697    -0.469697    1            0.393939     0.00142498  
-0.469697    -0.469697    1            0.409091     0.00571187  
-0.469697    -0.469697    1            0.424242     0.0114145   
-0.469697    -0.469697    1            0.439394     0.0422555   
-0.469697    -0.469697    1            0.454545     0.0653297   
-0.469697    -0.469697    1            0.469697     0.158154    
-0.469697    -0.469697    1            0.484848     0.191276    
-0.469697    -0.469697    1            0.5          0.345776    
-0.469697    -0.469697    1            0.515152     0.454065    
-0.469697    -0.469697    1            0.530303     0.448828    
-0.469697    -0.469697    1            0.545455     0.392612    
-0.469697    -0.469697    1            0.560606     0.366933    
-0.469697    -0.469697    1            0.575758     0.170625    
-0.469697    -0.469697    1            0.590909     0.0920059   
-0.469697    -0.469697    1            0.606061     0.0308933   
-0.469697    -0.469697    1            0.621212     0.00865098  
-0.469697    -0.469697    1            0.636364     0.0035943   
-0.469697    -0.469697    1            0.651515     8.51697e-06 
-0.469697    -0.469697    1            0.666667     7.21938e-08 
-0.469697    -0.469697    1            0.681818     2.6952e-30  
-0.469697    -0.469697    1            0.69697      1.11278e-24 
-0.469697    -0.469697    1            0.712121     3.94092e-54 
-0.469697    -0.469697    1            0.727273     3.63447e-63 
-0.469697    -0.469697    1            0.742424     4.43156e-81 
-0.469697    -0.469697    1            0.757576     6.0152e-87  
-0.469697    -0.469697    1            0.772727     6.60907e-101
-0.469697    -0.469697    1            0.787879     4.70308e-157
-0.469697    -0.469697    1            0.80303      1.30531e-202
-0.469697    -0.469697    1            0.818182     4.9772e-247 
-0.469697    -0.469697    1            0.833333     3.4656e-273 
-0.469697    -0.469697    1            0.848485     4.14918e-263
-0.469697    -0.469697    1            0.863636     8.29094e-285
-0.469697    -0.469697    1            0.878788     0           
-0.469697    -0.469697    1            0.893939     0           
-0.469697    -0.469697    1            0.909091     0           
-0.469697    -0.469697    1            0.924242     0           
-0.469697    -0.469697    1            0.939394     0           
-0.469697    -0.469697    1            0.954545     0           
-0.469697    -0.469697    1            0.969697     0           
-0.469697    -0.469697    1            0.984848     0           
-0.469697    -0.469697    1            1            0           
-0.469697    -0.469697    1            1.01515      0           
-0.469697    -0.469697    1            1.0303       0           
-0.469697    -0.469697    1            1.04545      0           
-0.469697    -0.469697    1            1.06061      0           
-0.469697    -0.469697    1            1.07576      0           
-0.469697    -0.469697    1            1.09091      0           
-0.469697    -0.469697    1            1.10606      0           
-0.469697    -0.469697    1            1.12121      0           
-0.469697    -0.469697    1            1.13636      0           
-0.469697    -0.469697    1            1.15152      0           
-0.469697    -0.469697    1            1.16667      0           
-0.469697    -0.469697    1            1.18182      0           
-0.469697    -0.469697    1            1.19697      0           
-0.469697    -0.469697    1            1.21212      0           
-0.469697    -0.469697    1            1.22727      0           
-0.469697    -0.469697    1            1.24242      0           
-0.469697    -0.469697    1            1.25758      0           
-0.469697    -0.469697    1            1.27273      0           
-0.469697    -0.469697    1            1.28788      0           
-0.469697    -0.469697    1            1.30303      0           
-0.469697    -0.469697    1            1.31818      0           
-0.469697    -0.469697    1            1.33333      0           
-0.469697    -0.469697    1            1.34848      0           
-0.469697    -0.469697    1            1.36364      0           
-0.469697    -0.469697    1            1.37879      0           
-0.469697    -0.469697    1            1.39394      0           
-0.469697    -0.469697    1            1.40909      0           
-0.469697    -0.469697    1            1.42424      0           
-0.469697    -0.469697    1            1.43939      0           
-0.469697    -0.469697    1            1.45455      0           
-0.469697    -0.469697    1            1.4697       0           
-0.469697    -0.469697    1            1.48485      0           
-0.459596    -0.459596    1            0            0.514358    
-0.459596    -0.459596    1            0.0151515    0.484097    
-0.459596    -0.459596    1            0.030303     0.374745    
-0.459596    -0.459596    1            0.0454545    0.221365    
-0.459596    -0.459596    1            0.0606061    0.128723    
-0.459596    -0.459596    1            0.0757576    0.0536007   
-0.459596    -0.459596    1            0.0909091    0.0175593   
-0.459596    -0.459596    1            0.106061     0.00389823  
-0.459596    -0.459596    1            0.121212     0.00192161  
-0.459596    -0.459596    1            0.136364     0.000797917 
-0.459596    -0.459596    1            0.151515     5.00633e-06 
-0.459596    -0.459596    1            0.166667     2.09501e-05 
-0.459596    -0.459596    1            0.181818     1.11192e-07 
-0.459596    -0.459596    1            0.19697      3.34204e-07 
-0.459596    -0.459596    1            0.212121     2.435e-11   
-0.459596    -0.459596    1            0.227273     7.84995e-15 
-0.459596    -0.459596    1            0.242424     1.54961e-16 
-0.459596    -0.459596    1            0.257576     8.79779e-19 
-0.459596    -0.459596    1            0.272727     4.49746e-19 
-0.459596    -0.459596    1            0.287879     1.00501e-25 
-0.459596    -0.459596    1            0.30303      2.20259e-09 
-0.459596    -0.459596    1            0.318182     1.30706e-09 
-0.459596    -0.459596    1            0.333333     4.19211e-15 
-0.459596    -0.459596    1            0.348485     1.49695e-07 
-0.459596    -0.459596    1            0.363636     1.03769e-06 
-0.459596    -0.459596    1            0.378788     0.00345575  
-0.459596    -0.459596    1            0.393939     0.00552956  
-0.459596    -0.459596    1            0.409091     0.021774    
-0.459596    -0.459596    1            0.424242     0.0351695   
-0.459596    -0.459596    1            0.439394     0.0648323   
-0.459596    -0.459596    1            0.454545     0.114864    
-0.459596    -0.459596    1            0.469697     0.181815    
-0.459596    -0.459596    1            0.484848     0.226898    
-0.459596    -0.459596    1            0.5          0.328923    
-0.459596    -0.459596    1            0.515152     0.385638    
-0.459596    -0.459596    1            0.530303     0.376451    
-0.459596    -0.459596    1            0.545455     0.362055    
-0.459596    -0.459596    1            0.560606     0.281602    
-0.459596    -0.459596    1            0.575758     0.176503    
-0.459596    -0.459596    1            0.590909     0.0976107   
-0.459596    -0.459596    1            0.606061     0.0322769   
-0.459596    -0.459596    1            0.621212     0.0127081   
-0.459596    -0.459596    1            0.636364     0.00271634  
-0.459596    -0.459596    1            0.651515     4.1418e-08  
-0.459596    -0.459596    1            0.666667     2.1958e-11  
-0.459596    -0.459596    1            0.681818     9.20969e-21 
-0.459596    -0.459596    1            0.69697      8.79874e-31 
-0.459596    -0.459596    1            0.712121     1.42843e-35 
-0.459596    -0.459596    1            0.727273     9.25935e-62 
-0.459596    -0.459596    1            0.742424     2.0613e-71  
-0.459596    -0.459596    1            0.757576     9.20503e-109
-0.459596    -0.459596    1            0.772727     9.9502e-138 
-0.459596    -0.459596    1            0.787879     6.87873e-166
-0.459596    -0.459596    1            0.80303      6.23087e-161
-0.459596    -0.459596    1            0.818182     9.47571e-193
-0.459596    -0.459596    1            0.833333     2.25911e-213
-0.459596    -0.459596    1            0.848485     3.57582e-269
-0.459596    -0.459596    1            0.863636     1.82054e-209
-0.459596    -0.459596    1            0.878788     1.13867e-319
-0.459596    -0.459596    1            0.893939     0           
-0.459596    -0.459596    1            0.909091     0           
-0.459596    -0.459596    1            0.924242     0           
-0.459596    -0.459596    1            0.939394     0           
-0.459596    -0.459596    1            0.954545     0           
-0.459596    -0.459596    1            0.969697     0           
-0.459596    -0.459596    1            0.984848     0           
-0.459596    -0.459596    1            1            0           
-0.459596    -0.459596    1            1.01515      0           
-0.459596    -0.459596    1            1.0303       0           
-0.459596    -0.459596    1            1.04545      0           
-0.459596    -0.459596    1            1.06061      0           
-0.459596    -0.459596    1            1.07576      0           
-0.459596    -0.459596    1            1.09091      0           
-0.459596    -0.459596    1            1.10606      0           
-0.459596    -0.459596    1            1.12121      0           
-0.459596    -0.459596    1            1.13636      0           
-0.459596    -0.459596    1            1.15152      0           
-0.459596    -0.459596    1            1.16667      0           
-0.459596    -0.459596    1            1.18182      0           
-0.459596    -0.459596    1            1.19697      0           
-0.459596    -0.459596    1            1.21212      0           
-0.459596    -0.459596    1            1.22727      0           
-0.459596    -0.459596    1            1.24242      0           
-0.459596    -0.459596    1            1.25758      0           
-0.459596    -0.459596    1            1.27273      0           
-0.459596    -0.459596    1            1.28788      0           
-0.459596    -0.459596    1            1.30303      0           
-0.459596    -0.459596    1            1.31818      0           
-0.459596    -0.459596    1            1.33333      0           
-0.459596    -0.459596    1            1.34848      0           
-0.459596    -0.459596    1            1.36364      0           
-0.459596    -0.459596    1            1.37879      0           
-0.459596    -0.459596    1            1.39394      0           
-0.459596    -0.459596    1            1.40909      0           
-0.459596    -0.459596    1            1.42424      0           
-0.459596    -0.459596    1            1.43939      0           
-0.459596    -0.459596    1            1.45455      0           
-0.459596    -0.459596    1            1.4697       0           
-0.459596    -0.459596    1            1.48485      0           
-0.449495    -0.449495    1            0            0.51592     
-0.449495    -0.449495    1            0.0151515    0.50336     
-0.449495    -0.449495    1            0.030303     0.359908    
-0.449495    -0.449495    1            0.0454545    0.223308    
-0.449495    -0.449495    1            0.0606061    0.121705    
-0.449495    -0.449495    1            0.0757576    0.0498108   
-0.449495    -0.449495    1            0.0909091    0.0192505   
-0.449495    -0.449495    1            0.106061     0.00697238  
-0.449495    -0.449495    1            0.121212     0.00207568  
-0.449495    -0.449495    1            0.136364     0.000581457 
-0.449495    -0.449495    1            0.151515     0.000789463 
-0.449495    -0.449495    1            0.166667     3.81265e-06 
-0.449495    -0.449495    1            0.181818     1.51528e-08 
-0.449495    -0.449495    1            0.19697      4.43557e-10 
-0.449495    -0.449495    1            0.212121     6.67739e-12 
-0.449495    -0.449495    1            0.227273     5.56873e-12 
-0.449495    -0.449495    1            0.242424     1.19693e-15 
-0.449495    -0.449495    1            0.257576     9.70007e-17 
-0.449495    -0.449495    1            0.272727     8.34949e-23 
-0.449495    -0.449495    1            0.287879     2.01695e-22 
-0.449495    -0.449495    1            0.30303      3.98509e-23 
-0.449495    -0.449495    1            0.318182     2.5212e-11  
-0.449495    -0.449495    1            0.333333     6.73561e-15 
-0.449495    -0.449495    1            0.348485     1.90631e-07 
-0.449495    -0.449495    1            0.363636     0.00286863  
-0.449495    -0.449495    1            0.378788     0.0020339   
-0.449495    -0.449495    1            0.393939     0.0180793   
-0.449495    -0.449495    1            0.409091     0.0162689   
-0.449495    -0.449495    1            0.424242     0.0437643   
-0.449495    -0.449495    1            0.439394     0.0808258   
-0.449495    -0.449495    1            0.454545     0.140772    
-0.449495    -0.449495    1            0.469697     0.204589    
-0.449495    -0.449495    1            0.484848     0.25492     
-0.449495    -0.449495    1            0.5          0.351513    
-0.449495    -0.449495    1            0.515152     0.391206    
-0.449495    -0.449495    1            0.530303     0.324818    
-0.449495    -0.449495    1            0.545455     0.3183      
-0.449495    -0.449495    1            0.560606     0.218643    
-0.449495    -0.449495    1            0.575758     0.152686    
-0.449495    -0.449495    1            0.590909     0.0931132   
-0.449495    -0.449495    1            0.606061     0.0418177   
-0.449495    -0.449495    1            0.621212     0.00904318  
-0.449495    -0.449495    1            0.636364     0.00488203  
-0.449495    -0.449495    1            0.651515     0.0043809   
-0.449495    -0.449495    1            0.666667     0.000139841 
-0.449495    -0.449495    1            0.681818     2.0152e-09  
-0.449495    -0.449495    1            0.69697      2.3221e-16  
-0.449495    -0.449495    1            0.712121     1.09529e-26 
-0.449495    -0.449495    1            0.727273     1.03479e-64 
-0.449495    -0.449495    1            0.742424     1.19875e-72 
-0.449495    -0.449495    1            0.757576     3.51156e-89 
-0.449495    -0.449495    1            0.772727     2.97007e-115
-0.449495    -0.449495    1            0.787879     2.86192e-141
-0.449495    -0.449495    1            0.80303      1.12051e-162
-0.449495    -0.449495    1            0.818182     2.87267e-181
-0.449495    -0.449495    1            0.833333     1.0106e-225 
-0.449495    -0.449495    1            0.848485     3.69136e-258
-0.449495    -0.449495    1            0.863636     3.18982e-291
-0.449495    -0.449495    1            0.878788     0           
-0.449495    -0.449495    1            0.893939     0           
-0.449495    -0.449495    1            0.909091     0           
-0.449495    -0.449495    1            0.924242     0           
-0.449495    -0.449495    1            0.939394     0           
-0.449495    -0.449495    1            0.954545     0           
-0.449495    -0.449495    1            0.969697     0           
-0.449495    -0.449495    1            0.984848     0           
-0.449495    -0.449495    1            1            0           
