T,Cp,Field
K,,T
1.12495,10651.37,0.69999
1.13956,10632.559,0.69999
1.15418,10652.786,0.69999
1.1688,10655.314,0.69999
1.18342,10672.984,0.69999
1.19803,10749.666,0.69999
1.21265,10792.101,0.69999
1.22727,10883.839,0.69999
1.24188,11123.643,0.69999
1.2565,11242.642,0.69999
1.27112,11587.373,0.69999
1.28574,12109.764,0.69999
1.30035,11615.622,0.69999
1.31497,9712.1425,0.69999
1.32959,8296.8857,0.69999
1.3442,7527.5982,0.69999
1.35882,7025.3325,0.69999
1.37344,6656.8721,0.69999
1.38806,6355.4813,0.69999
1.40267,6069.8127,0.69999
1.41729,5840.9134,0.69999
1.43191,5631.4273,0.69999
1.44652,5454.6383,0.69999
1.46114,5284.7195,0.69999
1.47576,5134.3487,0.69999
1.49038,5008.006,0.69999
1.50499,4870.4837,0.69999
1.51961,4740.0947,0.69999
1.53423,4636.0684,0.69999
1.54884,4503.1223,0.69999
1.56346,4399.7603,0.69999
1.57808,4298.969,0.69999
1.5927,4210.4284,0.69999
0.63652,4722.3372,0.79998
0.65144,4909.345,0.79998
0.66637,5102.2966,0.79998
0.6813,5289.768,0.79998
0.69623,5465.3864,0.79998
0.71116,5642.8865,0.79998
0.72608,5824.4802,0.79998
0.74101,6023.6652,0.79998
0.75594,6242.9877,0.79998
0.77087,6488.9286,0.79998
0.7858,6748.8323,0.79998
0.80072,7011.7978,0.79998
0.81565,7266.2207,0.79998
0.83058,7525.9568,0.79998
0.84551,7770.3161,0.79998
0.86044,7994.1573,0.79998
0.87536,8216.9235,0.79998
0.89029,8472.8551,0.79998
0.90522,8916.8878,0.79998
0.92015,10066.485,0.79998
0.93508,10364.227,0.79998
0.95,11040.749,0.79998
0.96493,12088.753,0.79998
0.97986,11255.109,0.79998
0.99479,10561.094,0.79998
1.00972,10596.1,0.79998
1.02464,10599.721,0.79998
1.03957,10557.255,0.79998
1.0545,10394.591,0.79998
1.06943,10322.511,0.79998
1.08436,10333.806,0.79998
1.09928,10354.554,0.79998
1.11421,10343.143,0.79998
1.12914,10408.307,0.79998
1.14407,10413.467,0.79998
1.159,10405.845,0.79998
1.17392,10501.581,0.79998
1.18885,10532.357,0.79998
1.20378,10551.747,0.79998
1.21871,10627.434,0.79998
1.23364,10698.19,0.79998
1.24856,10868.786,0.79998
1.26349,11027.637,0.79998
1.27842,11338.056,0.79998
1.29335,11791.679,0.79998
1.30828,11824.863,0.79998
1.32321,9981.7761,0.79998
1.33813,8391.3234,0.79998
1.35306,7445.282,0.79998
1.36799,6856.2386,0.79998
1.38292,6440.0292,0.79998
1.39785,6128.7102,0.79998
1.41277,5846.052,0.79998
1.4277,5603.6652,0.79998
1.44263,5387.4884,0.79998
1.45756,5184.3261,0.79998
1.47249,5007.612,0.79998
1.48741,4855.9938,0.79998
1.50234,4720.2444,0.79998
1.51727,4582.324,0.79998
1.5322,4454.1107,0.79998
1.54713,4336.9909,0.79998
1.56205,4224.8152,0.79998
1.57698,4132.5381,0.79998
1.59191,4029.4312,0.79998
1.60684,3936.1828,0.79998
0.63027,4717.1293,0.89999
0.64551,4918.6053,0.89999
0.66076,5123.7255,0.89999
0.676,5322.9855,0.89999
0.69124,5507.571,0.89999
0.70649,5694.8063,0.89999
0.72173,5878.0783,0.89999
0.73697,6083.6773,0.89999
0.75222,6313.8695,0.89999
0.76746,6575.8188,0.89999
0.7827,6857.1682,0.89999
0.79794,7147.7264,0.89999
0.81319,7455.0824,0.89999
0.82843,8180.7121,0.89999
0.84367,8990.8933,0.89999
0.85892,8563.6666,0.89999
0.87416,9896.0232,0.89999
0.8894,10285.605,0.89999
0.90465,8817.4511,0.89999
0.91989,7898.8761,0.89999
0.93513,7829.5226,0.89999
0.95037,8101.7997,0.89999
0.96562,8515.2545,0.89999
0.98086,8971.6536,0.89999
0.9961,9363.6041,0.89999
1.01135,9624.041,0.89999
1.02659,9702.0153,0.89999
1.04183,9681.9986,0.89999
1.05708,9652.7963,0.89999
1.07232,9815.4129,0.89999
1.08756,10047.869,0.89999
1.10281,10078.677,0.89999
1.11805,10158.113,0.89999
1.13329,10864.225,0.89999
1.14853,11249.351,0.89999
1.16378,10666.772,0.89999
1.17902,10504.924,0.89999
1.19426,10455.254,0.89999
1.20951,10471.493,0.89999
1.22475,10495.477,0.89999
1.23999,10526.589,0.89999
1.25524,10660.133,0.89999
1.27048,10810.845,0.89999
1.28572,11006.994,0.89999
1.30096,11443.849,0.89999
1.31621,11810.463,0.89999
1.33145,10542.135,0.89999
1.34669,8698.1085,0.89999
1.36194,7521.4013,0.89999
1.37718,6793.2821,0.89999
1.39242,6294.1697,0.89999
1.40767,5921.8159,0.89999
1.42291,5606.1586,0.89999
1.43815,5359.2701,0.89999
1.4534,5140.3884,0.89999
1.46864,4889.6666,0.89999
1.48388,4684.3903,0.89999
1.49912,4558.2039,0.89999
1.51437,4451.0478,0.89999
1.52961,4338.6554,0.89999
1.54485,4236.1974,0.89999
1.5601,4141.3287,0.89999
1.57534,4048.6859,0.89999
1.59058,3935.1562,0.89999
1.60583,3810.2588,0.89999
1.62107,3683.3085,0.89999
0.6229,4720.1725,0.99998
0.63851,4937.7161,0.99998
0.65411,5160.5753,0.99998
0.66972,5380.0811,0.99998
0.68533,5582.3877,0.99998
0.70094,5782.846,0.99998
0.71655,5979.4144,0.99998
0.73216,6360.7477,0.99998
0.74777,7237.0634,0.99998
0.76338,7207.92,0.99998
0.77898,8191.2673,0.99998
0.79459,9489.2514,0.99998
0.8102,9315.7792,0.99998
0.82581,8024.0798,0.99998
0.84142,7183.3853,0.99998
0.85703,6961.6243,0.99998
0.87264,6890.4504,0.99998
0.88824,6862.9247,0.99998
0.90385,6909.9932,0.99998
0.91946,7043.4856,0.99998
0.93507,7281.4163,0.99998
0.95068,7657.0644,0.99998
0.96629,8144.232,0.99998
0.9819,8670.43,0.99998
0.99751,9087.3606,0.99998
1.01311,9330.8797,0.99998
1.02872,9410.0325,0.99998
1.04433,9336.7759,0.99998
1.05994,9227.4173,0.99998
1.07555,9230.574,0.99998
1.09116,9299.2338,0.99998
1.10677,9398.9249,0.99998
1.12237,9639.8237,0.99998
1.13798,10144.578,0.99998
1.15359,10437.253,0.99998
1.1692,10480.481,0.99998
1.18481,11470.984,0.99998
1.20042,11185.642,0.99998
1.21603,10653.657,0.99998
1.23164,10515.751,0.99998
1.24724,10472.08,0.99998
1.26285,10473.585,0.99998
1.27846,10618.541,0.99998
1.29407,10787.601,0.99998
1.30968,11140.649,0.99998
1.32529,11650.854,0.99998
1.3409,10982.224,0.99998
1.3565,9116.4185,0.99998
1.37211,7628.6257,0.99998
1.38772,6747.4555,0.99998
1.40333,6166.5113,0.99998
1.41894,5731.4652,0.99998
1.43455,5404.4047,0.99998
1.45016,5135.592,0.99998
1.46577,4907.2556,0.99998
1.48137,4705.5295,0.99998
1.49698,4518.0441,0.99998
1.51259,4349.8902,0.99998
1.5282,4208.8759,0.99998
1.54381,4076.0065,0.99998
1.55942,3953.4243,0.99998
1.57503,3831.6773,0.99998
1.59063,3734.9505,0.99998
1.60624,3626.7645,0.99998
1.62185,3529.3897,0.99998
1.63746,3437.9886,0.99998
0.65016,5520.5299,1.09983
0.67476,6158.1358,1.09983
0.69937,6847.0765,1.09983
0.72397,7404.1653,1.09983
0.74857,7273.5329,1.09983
0.77317,6787.7342,1.09983
0.79778,6434.6608,1.09983
0.82238,6389.595,1.09983
0.84698,6412.6456,1.09983
0.87159,6438.0639,1.09983
0.89619,6512.0727,1.09983
0.92079,6719.3953,1.09983
0.9454,7132.0178,1.09983
0.97,7720.6882,1.09983
0.9946,8312.6755,1.09983
1.01921,8667.2888,1.09983
1.04381,8726.6416,1.09983
1.06841,8708.372,1.09983
1.09302,8779.0166,1.09983
1.11762,8879.6766,1.09983
1.14222,9031.1942,1.09983
1.16683,9262.0612,1.09983
1.19143,9901.7712,1.09983
1.21603,10879.871,1.09983
1.24064,12044.563,1.09983
1.26524,11509.598,1.09983
1.28984,11142.742,1.09983
1.31445,11378.123,1.09983
1.33905,12053.09,1.09983
1.36365,11568.706,1.09983
1.38825,8632.8558,1.09983
1.41286,6899.3393,1.09983
1.43746,6034.613,1.09983
1.46206,5488.7887,1.09983
1.48667,5076.5221,1.09983
1.51127,4771.2587,1.09983
1.53587,4501.5533,1.09983
1.56048,4276.4988,1.09983
1.58508,4071.8557,1.09983
1.60968,3900.1274,1.09983
1.63429,3728.7875,1.09983
1.65889,3570.1653,1.09983
1.68349,3435.8876,1.09983
1.7081,3319.2654,1.09983
1.7327,3205.2422,1.09983
1.7573,3089.5174,1.09983
1.78191,3001.1539,1.09983
1.80651,2905.4912,1.09983
1.83111,2819.8186,1.09983
1.85572,2732.5074,1.09983
1.88032,2651.7779,1.09983
1.90492,2582.8787,1.09983
1.92952,2507.6338,1.09983
1.95413,2445.9517,1.09983
1.97873,2376.8529,1.09983
2.00333,2320.719,1.09983
2.02794,2261.6563,1.09983
2.05254,2204.4002,1.09983
2.07714,2145.2295,1.09983
2.10175,2099.6304,1.09983
2.12635,2051.6948,1.09983
2.15095,2003.3341,1.09983
2.17556,1958.3501,1.09983
2.20016,1915.7863,1.09983
2.22476,1876.051,1.09983
2.24937,1837.4749,1.09983
0.60027,5126.1062,1.1998
0.6159,5760.6806,1.1998
0.63153,6266.1126,1.1998
