Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
2,2949086	12,679561	12,535948	1999,775
2,3054853	12,347408	12,202189	1999,775
2,3163412	12,177307	12,030428	1999,775
2,3263545	11,906727	11,758306	1999,775
2,3363135	11,409818	11,259853	1999,775
2,3457274	11,252842	11,101407	1999,775
2,3546386	11,556303	11,40347	1999,775
2,3634637	11,528967	11,37474	1999,775
2,3718665	10,954321	10,798759	1999,775
2,3799182	10,879459	10,72261	1999,775
2,3869111	11,057818	10,899848	1999,775
2,394218	10,671314	10,512166	1999,775
2,4013856	10,828815	10,668506	1999,775
2,4077753	10,9041	10,742751	1999,775
2,4139224	10,083956	9,9216036	1999,775
2,4198358	9,6299513	9,4666291	1999,775
2,4258372	10,122029	9,9577194	1999,775
2,4310371	10,05053	9,8853614	1999,775
2,436409	9,2749325	9,1088739	1999,775
2,4417277	8,9658321	8,7988894	1999,775
2,4464207	8,5880198	8,4202945	1999,775
2,4513118	7,8662863	7,697743	1999,775
2,4557688	8,0097629	7,840472	1999,775
2,4603909	7,9775504	7,8074821	1999,775
2,4639799	8,383736	8,2130626	1999,775
2,4676441	8,0231101	7,8518174	1999,775
2,4711426	8,2910694	8,1191842	1999,775
2,4744403	6,9939612	6,8215163	1999,775
2,4776053	7,0457056	6,8727225	1999,775
2,4802041	6,6213692	6,4479436	1999,775
2,4833875	6,4512514	6,2772825	1999,775
2,4863288	5,4791751	5,3047034	1999,775
2,4891692	5,122355	4,9473969	1999,775
2,4917011	4,1709033	3,995511	1999,775
2,4943848	3,7421511	3,5662978	1999,775
2,4969592	3,8147149	3,6384186	1999,775
2,4990233	3,8935426	3,7168907	1999,775
2,5012212	2,8366304	2,6595993	1999,775
2,5030843	2,5650915	2,3877386	1999,775
2,5049185	1,8204218	1,6427517	1999,775
2,50663	1,1888191	1,0108529	1999,775
2,5084368	0,55844571	0,3801664	1999,775
2,5103094	-0,15479309	-0,33339721	1999,775
2,5117613	-0,70046362	-0,87931982	1999,775
2,5130881	-1,7155536	-1,8946404	1999,775
0,71033627	16,806706	16,764806	3999,659
0,75735769	18,782873	18,741911	3999,659
0,79893143	20,559353	20,519026	3999,659
0,83652561	22,312791	22,272884	3999,659
0,87084078	24,064453	24,024799	3999,659
0,90229025	25,838484	25,798952	3999,659
0,93130594	27,694994	27,655482	3999,659
0,95812378	29,57922	29,539647	3999,659
0,98300403	31,52778	31,48808	3999,659
1,0060293	33,692164	33,652289	3999,659
1,0273753	35,989196	35,949107	3999,659
1,0471268	38,6326	38,592269	3999,659
1,0652841	41,815447	41,774856	3999,659
1,0818273	45,726112	45,685254	3999,659
1,0966732	50,736133	50,69501	3999,659
1,1105686	54,971479	54,930086	3999,659
1,1240535	55,750476	55,7088	3999,659
1,1375229	53,136763	53,094786	3999,659
1,1512746	49,054525	49,012219	3999,659
1,1655184	45,575579	45,532911	3999,659
1,1805998	44,077312	44,034237	3999,659
1,1960987	43,690894	43,647373	3999,659
1,2115762	43,726954	43,682962	3999,659
1,2268868	43,896472	43,851989	3999,659
1,2418003	44,566372	44,521385	3999,659
1,2563593	45,70487	45,659367	3999,659
1,2709228	45,858065	45,812023	3999,659
1,2861502	43,323245	43,276614	3999,659
1,302209	39,406525	39,359244	3999,659
1,3193309	35,122665	35,07466	3999,659
1,3378882	31,63863	31,589804	3999,659
1,3580261	29,309337	29,259576	3999,659
1,379342	27,944468	27,893667	3999,659
1,4012261	26,848503	26,796581	3999,659
1,4237378	25,924841	25,87171	3999,659
1,4465977	25,210939	25,156522	3999,659
1,4697985	24,48598	24,430197	3999,659
1,4932583	23,697956	23,640729	3999,659
1,5170226	22,959669	22,900916	3999,659
1,5409035	22,441844	22,381492	3999,659
1,5649407	21,843944	21,781916	3999,659
1,5891754	21,33846	21,274677	3999,659
1,6134128	20,869785	20,804178	3999,659
1,637447	20,524728	20,457248	3999,659
1,6616323	19,953365	19,883932	3999,659
1,6858045	19,577734	19,506284	3999,659
1,7097683	19,201117	19,127602	3999,659
1,7335073	18,85071	18,775086	3999,659
1,7572677	18,376176	18,298378	3999,659
1,780783	18,237626	18,157614	3999,659
1,8038512	17,915306	17,833062	3999,659
1,8268157	17,554855	17,470331	3999,659
1,8493079	17,384785	17,29797	3999,659
1,8714881	17,264969	17,175841	3999,659
1,8932179	16,892892	16,801444	3999,659
