#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.206        0.206        1            0.97         8.57e-26    
0.206        0.206        1            0.98         7.82479e-26 
0.206        0.206        1            0.99         1.12378e-26 
0.209        0.209        1            0            0.520833    
0.209        0.209        1            0.01         0.507266    
0.209        0.209        1            0.02         0.438172    
0.209        0.209        1            0.03         0.36231     
0.209        0.209        1            0.04         0.284869    
0.209        0.209        1            0.05         0.190943    
0.209        0.209        1            0.06         0.115338    
0.209        0.209        1            0.07         0.0769248   
0.209        0.209        1            0.08         0.0338147   
0.209        0.209        1            0.09         0.0159061   
0.209        0.209        1            0.1          0.00893189  
0.209        0.209        1            0.11         0.00510062  
0.209        0.209        1            0.12         0.00202589  
0.209        0.209        1            0.13         0.0012192   
0.209        0.209        1            0.14         5.12294e-05 
0.209        0.209        1            0.15         0.000374199 
0.209        0.209        1            0.16         3.08168e-06 
0.209        0.209        1            0.17         2.05543e-05 
0.209        0.209        1            0.18         1.43874e-08 
0.209        0.209        1            0.19         1.93546e-09 
0.209        0.209        1            0.2          1.23767e-09 
0.209        0.209        1            0.21         5.27297e-12 
0.209        0.209        1            0.22         2.03109e-12 
0.209        0.209        1            0.23         5.8026e-15  
0.209        0.209        1            0.24         1.14805e-17 
0.209        0.209        1            0.25         5.03303e-14 
0.209        0.209        1            0.26         2.00807e-19 
0.209        0.209        1            0.27         5.01286e-18 
0.209        0.209        1            0.28         6.14422e-22 
0.209        0.209        1            0.29         8.56283e-25 
0.209        0.209        1            0.3          2.57552e-25 
0.209        0.209        1            0.31         3.98934e-29 
0.209        0.209        1            0.32         3.34126e-25 
0.209        0.209        1            0.33         3.86125e-23 
0.209        0.209        1            0.34         1.4293e-21  
0.209        0.209        1            0.35         3.24654e-20 
0.209        0.209        1            0.36         9.78e-19    
0.209        0.209        1            0.37         1.21454e-15 
0.209        0.209        1            0.38         2.65218e-16 
0.209        0.209        1            0.39         5.84138e-16 
0.209        0.209        1            0.4          1.44225e-12 
0.209        0.209        1            0.41         1.36711e-13 
0.209        0.209        1            0.42         3.46363e-12 
0.209        0.209        1            0.43         1.6031e-10  
0.209        0.209        1            0.44         2.4007e-10  
0.209        0.209        1            0.45         1.07641e-09 
0.209        0.209        1            0.46         6.23149e-09 
0.209        0.209        1            0.47         2.98698e-08 
0.209        0.209        1            0.48         9.1947e-08  
0.209        0.209        1            0.49         1.24493e-06 
0.209        0.209        1            0.5          1.75859e-06 
0.209        0.209        1            0.51         3.30898e-06 
0.209        0.209        1            0.52         7.33503e-06 
0.209        0.209        1            0.53         1.32463e-05 
0.209        0.209        1            0.54         3.97511e-05 
0.209        0.209        1            0.55         5.39158e-05 
0.209        0.209        1            0.56         0.000107265 
0.209        0.209        1            0.57         0.00017862  
0.209        0.209        1            0.58         0.000245311 
0.209        0.209        1            0.59         0.00035465  
0.209        0.209        1            0.6          0.000459765 
0.209        0.209        1            0.61         0.000561475 
0.209        0.209        1            0.62         0.000629815 
0.209        0.209        1            0.63         0.000682302 
0.209        0.209        1            0.64         0.000635399 
0.209        0.209        1            0.65         0.000582363 
0.209        0.209        1            0.66         0.000502673 
0.209        0.209        1            0.67         0.000400166 
0.209        0.209        1            0.68         0.000302268 
0.209        0.209        1            0.69         0.000220526 
0.209        0.209        1            0.7          0.000125197 
0.209        0.209        1            0.71         8.36678e-05 
0.209        0.209        1            0.72         5.09288e-05 
0.209        0.209        1            0.73         2.2262e-05  
0.209        0.209        1            0.74         1.09434e-05 
0.209        0.209        1            0.75         6.00773e-06 
0.209        0.209        1            0.76         2.47709e-06 
0.209        0.209        1            0.77         4.87078e-07 
0.209        0.209        1            0.78         3.444e-07   
0.209        0.209        1            0.79         2.27845e-07 
0.209        0.209        1            0.8          4.32367e-08 
0.209        0.209        1            0.81         5.5256e-08  
0.209        0.209        1            0.82         1.6161e-08  
0.209        0.209        1            0.83         1.38892e-09 
0.209        0.209        1            0.84         8.99775e-11 
0.209        0.209        1            0.85         3.7841e-12  
0.209        0.209        1            0.86         1.39711e-12 
0.209        0.209        1            0.87         7.24608e-13 
0.209        0.209        1            0.88         9.0252e-15  
0.209        0.209        1            0.89         3.57437e-16 
0.209        0.209        1            0.9          3.76466e-14 
0.209        0.209        1            0.91         1.72217e-17 
0.209        0.209        1            0.92         8.13742e-19 
0.209        0.209        1            0.93         7.97224e-20 
0.209        0.209        1            0.94         2.19003e-21 
0.209        0.209        1            0.95         1.73204e-25 
0.209        0.209        1            0.96         6.94489e-23 
0.209        0.209        1            0.97         6.88053e-28 
0.209        0.209        1            0.98         3.84871e-28 
0.209        0.209        1            0.99         5.86484e-31 
0.212        0.212        1            0            0.531101    
0.212        0.212        1            0.01         0.508807    
0.212        0.212        1            0.02         0.443363    
0.212        0.212        1            0.03         0.356505    
0.212        0.212        1            0.04         0.268853    
